Date;Amount;Category;Description
15/04/2023;120,50;Groceries;Supermarket weekly shopping
18/04/2023;45,00;Entertainment;Movie tickets
20/04/2023;950,00;Housing;Monthly rent payment
22/04/2023;35,75;Transportation;Gas station
25/04/2023;65,25;Food;Restaurant dinner
28/04/2023;22,99;Shopping;Online purchase - Amazon
30/04/2023;150,00;Utilities;Electricity bill
02/05/2023;89,99;Entertainment;Concert tickets
05/05/2023;42,50;Groceries;Supermarket shopping
08/05/2023;18,75;Transportation;Uber ride
10/05/2023;75,00;Healthcare;Doctor visit copay
12/05/2023;950,00;Housing;Monthly rent payment
15/05/2023;110,25;Groceries;Supermarket weekly shopping
18/05/2023;55,00;Entertainment;Streaming services
20/05/2023;32,50;Transportation;Gas station
22/05/2023;85,75;Food;Restaurant dinner with friends
25/05/2023;120,00;Utilities;Internet and cable
28/05/2023;65,99;Shopping;Clothing purchase
30/05/2023;45,50;Groceries;Supermarket shopping
