Posted Date,Transaction Date,Card No.,Description,Category,Amount
2023-01-05,2023-01-04,XXXX-XXXX-XXXX-1234,GROCERY OUTLET,Groceries,120.50
2023-01-08,2023-01-07,XXXX-XXXX-XXXX-1234,AMC THEATERS,Entertainment,45.00
2023-01-12,2023-01-11,XXXX-XXXX-XXXX-1234,SHELL OIL,Transportation,35.75
2023-01-15,2023-01-14,XXXX-XXXX-XXXX-1234,CHEESECAKE FACTORY,Dining,65.25
2023-01-18,2023-01-17,XXXX-XXXX-XXXX-1234,AMAZON.COM,Shopping,22.99
2023-01-22,2023-01-21,XXXX-XXXX-XXXX-1234,TICKETMASTER,Entertainment,89.99
2023-01-25,2023-01-24,XXXX-XXXX-XXXX-1234,SAFEWAY,Groceries,42.50
2023-01-28,2023-01-27,XXXX-XXXX-XXXX-1234,UBER,Transportation,18.75
2023-01-30,2023-01-29,XXXX-XXXX-XXXX-1234,CITY MEDICAL CENTER,Healthcare,75.00
2023-02-03,2023-02-02,XXXX-XXXX-XXXX-1234,TRADER JOE'S,Groceries,110.25
2023-02-05,2023-02-04,XXXX-XXXX-XXXX-1234,NETFLIX,Entertainment,15.99
2023-02-05,2023-02-04,XXXX-XXXX-XXXX-1234,SPOTIFY,Entertainment,9.99
2023-02-05,2023-02-04,XXXX-XXXX-XXXX-1234,HULU,Entertainment,12.99
2023-02-05,2023-02-04,XXXX-XXXX-XXXX-1234,DISNEY+,Entertainment,7.99
2023-02-08,2023-02-07,XXXX-XXXX-XXXX-1234,CHEVRON,Transportation,32.50
2023-02-10,2023-02-09,XXXX-XXXX-XXXX-1234,OLIVE GARDEN,Dining,85.75
2023-02-15,2023-02-14,XXXX-XXXX-XXXX-1234,MACY'S,Shopping,65.99
2023-02-18,2023-02-17,XXXX-XXXX-XXXX-1234,WHOLE FOODS,Groceries,45.50
2023-02-20,2023-02-19,XXXX-XXXX-XXXX-1234,METRO TRANSIT,Transportation,28.75
2023-02-22,2023-02-21,XXXX-XXXX-XXXX-1234,UDEMY,Education,200.00
2023-02-25,2023-02-24,XXXX-XXXX-XXXX-1234,BARNES & NOBLE,Shopping,35.00
2023-03-02,2023-03-01,XXXX-XXXX-XXXX-1234,COSTCO,Groceries,125.75
2023-03-05,2023-03-04,XXXX-XXXX-XXXX-1234,STREAMING SERVICES,Entertainment,42.00
2023-03-08,2023-03-07,XXXX-XXXX-XXXX-1234,EXXON MOBIL,Transportation,38.50
2023-03-10,2023-03-09,XXXX-XXXX-XXXX-1234,OUTBACK STEAKHOUSE,Dining,95.25
2023-03-15,2023-03-14,XXXX-XXXX-XXXX-1234,BEST BUY,Shopping,120.50
2023-03-18,2023-03-17,XXXX-XXXX-XXXX-1234,ALBERTSONS,Groceries,55.25
2023-03-20,2023-03-19,XXXX-XXXX-XXXX-1234,LYFT,Transportation,22.50
2023-03-22,2023-03-21,XXXX-XXXX-XXXX-1234,DENTAL CLINIC,Healthcare,150.00
2023-03-25,2023-03-24,XXXX-XXXX-XXXX-1234,LIVE NATION,Entertainment,65.00
