Date,Amount,Category,Description
2023-01-15,120.50,Groceries,Supermarket
2023-01-20,45.00,Entertainment,Movie tickets
2023-01-25,250.00,Housing,Rent payment
2023-02-01,35.75,Food,Restaurant
2023-02-05,60.00,Transportation,Gas
2023-02-10,120.00,Utilities,Electricity bill
2023-02-15,80.00,Healthcare,Doctor visit
2023-02-20,150.00,Groceries,Supermarket
2023-03-01,250.00,Housing,Rent payment
2023-03-05,40.00,Entertainment,Concert tickets
2023-03-10,65.50,Food,Restaurant
2023-03-15,55.00,Transportation,Gas
2023-03-20,100.00,Utilities,Internet bill
2023-03-25,200.00,Miscellaneous,Shopping
